= "Opis błędu;Typ błędu;Do wysłania  ;Użycie od;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";Id użytkownika;Użytkownik;Id umowy;Id pola eksploatacji;Pole eksploatacji;Id typu użycia;Typ użycia;Id uprawnionego;Uprawniony;Id utworu;Tytuł polski utworu;Tytuł polski odcinka;Nr odcinka;Kwota na autorów;Producent;Reżyser;Scenarzysta;Autor dialogów;Operator obrazu;Scenograf;Kostiumograf;Montażysta;Operator dźwięku;Dekorator wnętrz;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ);
= "Brak udziału uprawnionego w danym typie udziału. Na danym zakresie danych już istnieją użycia.;Ostrzeżenie;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;Telewizja Polska Spółka Akcyjna;1115;1;wszystkie pola eksploatacji;4;publiczne odtwarzanie;1447;Wiesław Rutowicz;12;07 zgłoś się;Przerwany urlop;21;244,7363;0,0000;146,8281;2,0000;2,0000;40,3497;20,1751;8,9667;8,9667;13,4500;2,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość.;Błąd;;1900-01-02;3000-01-01;218;;1115;1;;4;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość.;Błąd;;2050-12-31;2000-12-31;218;;1115;1;;4;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość.;Błąd;;1900-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;1115;1;;4;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość.;Błąd;;0001-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;1115;1;;4;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Nieprawidłowy status uprawnionego. Na danym zakresie danych już istnieją użycia.;Błąd;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;1115;1;;4;;171;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość. Na danym zakresie danych już istnieją użycia.;Błąd;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;1115;1;;7;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Brak użytkownika w bazie dla tego kontraktu.;Błąd;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";6;;1115;1;;4;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość. Na danym zakresie danych już istnieją użycia.;Błąd;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;1115;1;;4;;1447;;510981;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość. Na danym zakresie danych już istnieją użycia.;Błąd;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;1115;1;;4;;100000;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
= "Niepoprawna wartość.;Błąd;;2021-01-01;" &X.WYSZUKAJ("#5";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ) & ";218;;12;1;;4;;1447;;12;;;;238,7363;0,0000;146,8281;0,0000;0,0000;40,3497;20,1751;8,9667;8,9667;13,4500;0,0000;" &X.WYSZUKAJ("#7";'Lista identyfikatorów'!$A$2:$A$100;'Lista identyfikatorów'!$C$2:$C$100;FAŁSZ)
